Q12913 P46087
Q9UNQ2 P62249
O75817 Q9Y3C4
Q02978 Q9BZI7
Q9GZY0 Q6ZRV2
Q6NUS6 Q9P035
Q5TA45 Q99932
P37231 P10276
P46087 Q15573
Q969N2 A8K2U0
O43169 Q9Y639
Q03701 Q99848
Q02083 P17301
Q9H0D6 Q92552
P07359 P13224
P13984 P46776
P29966 Q96HY6
Q9UGJ0 Q9NQE7
Q9Y399 P50336
Q9UBQ0 Q9P000
Q9NVV9 Q8TAB5
P17181 P46531
O75147 P50454
Q9NVH0 P82663
Q9BZR8 Q9HCN8
Q9Y3U8 P62244
Q6UXU6 Q9UKY4
Q8NI17 Q6MZM0
P80370 O43149
O00602 Q96DA0
O14561 Q7L273
P10275 Q5JSZ5
Q8TC27 Q4G0S4
Q16827 O60568
P43490 P53602
Q96CM3 Q9Y2R9
P16112 Q99542
P34741 P01008
Q96BP2 P82673
Q9H7H0 Q8TCS8
Q9Y4C4 Q9UBZ4
Q9UJ55 Q9Y266
Q8NI17 P40189
Q9BXJ1 P12110
O75534 Q9NP73
P48634 O15234
Q96JK4 Q16656
Q8N386 Q96GC9
P49589 Q9P2J5
Q5BVD1 Q5T3J3
P06702 Q12789
Q53F39 Q95460
Q9H7H0 Q9NWB6
Q9NWT6 Q4KWH8
Q9NSU2 P27694
P16070 P14210
O95985 Q9H7E2
Q6IN84 Q96SZ6
Q9UBT6 Q14978
Q30201 Q8WVQ1
O00602 Q8IYK4
P49639 P08686
O75147 Q9Y3B9
Q9UHD9 Q08188
P51449 P22794
P11279 P17301
P16410 Q13021
P62244 P49207
P50222 Q12888
Q9H0W9 P36952
Q6UY01 Q9UHC6
Q15262 Q9NZR2
Q9Y3B7 Q96EY7
P55957 Q16548
P49639 Q7Z5V6
Q9BSH4 Q9BU61
O60356 Q53GS9
P24752 Q96G46
P04233 P19388
P04070 P12259
Q8WVN6 Q9HCN8
O75604 Q6UWE0
Q9HC73 O95754
Q9NS68 Q4ZIN3
Q9Y6G5 Q53FT3
Q9NQC7 P08865
Q00604 Q5HYA8
Q13241 Q53R41
Q9Y3B7 Q96GC5
P28838 P30038
Q8WXI8 Q13895
Q08AM6 Q5BKX5
Q9NRS4 Q9BXN2
P04150 Q9Y520
P05981 Q9H336
Q7L2J0 Q96EY7
Q10713 Q15031
Q9NRS4 Q14517
P01133 P00451
Q6X784 Q92485
Q6NUS6 Q9P0I2
P13798 O15355
P36578 P32969
P42785 Q96CN7
P06401 P53396
O00220 Q9NPF0
O00339 P05155
P10619 P16278
Q15742 P13473
Q8NBZ7 Q8TC07
Q7L2J0 Q96GC5
Q9H0F6 Q9NTN9
P29350 Q8TAQ2
Q96CF2 P50454
P39656 P51571
P49639 Q8WWZ8
P03372 P62906
Q92934 P38936
P55075 Q8TDN6
Q15185 Q9Y6W3
P55286 P50895
P62136 Q86UU0
P40197 O75298
Q8WXI8 P18887
Q86X76 P12694
Q9H3D4 P00738
Q9BXS9 Q68DH5
P55075 Q9NQ55
O00401 P29692
Q8IUC3 P32242
Q9H3S1 O15031
Q9Y5X9 P19823
Q9HBL8 Q96AG4
P04150 Q9NZN1
P62841 P62910
Q99697 Q5T848
O15205 Q96BW1
Q6P1J9 Q13740
P12319 Q9Y3A5
Q9NP73 Q8IX12
O75439 Q5VTE6
P62269 P62244
Q92844 Q9BVI4
Q9NWD8 Q8TE77
O00220 O95999
Q6UY14 P28340
Q07011 Q9HAV4
P50458 Q6MZP7
O15118 O95672
Q9HCS5 Q9ULF5
O43715 Q9BU61
P29350 P06127
Q9BZW8 O75431
Q96CF2 Q9Y3B9
Q13291 Q9UBV2
Q8TDQ1 P05067
P61353 P32969
Q99442 Q5JTV8
Q96HY6 Q9H6F5
Q9P218 Q05707
Q9BRU9 Q13601
P03372 P31944
P26367 Q5JSZ5
P01589 Q86UT6
Q13224 Q8TDF5
Q9NQC7 Q15459
Q6IN84 A8K2U0
Q9Y2K5 Q5JSZ5
P11279 Q86SJ2
Q86WK7 O14967
Q9P032 Q15070
Q16790 P43121
P10644 O95433
Q9UNQ2 Q5JSZ5
O00418 Q96G46
O75147 Q9P283
Q9UK80 Q96LD8
Q99933 O75312
P60891 Q99932
Q9BXB1 O60469
Q9HC73 P15260
P43026 P98066
Q6AZY7 Q92626
Q6UXB1 Q92626
Q9NQX5 Q96HD9
Q969P0 P55084
Q9NW97 Q8NEW7
Q99447 Q86X55
Q86T13 O95202
Q9H7H0 Q9H0R6
P31314 Q9HAH7
O60828 Q5T3J3
Q13573 Q96QD9
Q9NVH0 Q9Y2S7
O15118 Q9NUM4
O95196 Q92903
Q6IN84 P13804
Q96DP5 P82933
O60256 P05067
P99999 Q7L4I2
Q86YD3 P25445
Q504Y0 O43808
Q14802 P55061
O15144 P15927
P04181 Q12931
Q8WXI8 Q9Y679
P11831 P10155
Q6NUS6 Q9BTV4
O95196 Q2TAA5
P19320 Q96HS1
Q8TB96 P62861
P06748 P27658
Q07021 O43920
Q96GX9 Q6MZM0
Q96A35 Q9BRJ2
Q9H013 Q0VDF9
P17735 P28799
P13671 P00734
Q8NBZ7 Q12769
P62917 Q8WTT2
Q12918 Q8WUM9
Q96PD2 Q13021
Q9HCN8 P12110
P35858 P17936
Q16878 Q92547
Q9BSH4 P13804
P38936 P06748
P25311 P02790
P17405 Q9H061
Q02083 O75462
Q07011 Q9NQC7
P50616 P05067
P34741 Q8IWU6
P46779 Q8IYB3
Q8WUH2 P09917
Q05209 Q9H0W7
Q5J8M3 Q8NBX0
O75489 Q9Y2S7
Q8NE86 O95202
Q8NFN8 O43149
Q96AK3 O75152
P31314 O00512
Q14512 P62277
Q01344 P34059
P0CG37 Q9H013
O14980 Q9Y2P8
P04181 P55809
P27695 Q6PCB5
O15205 Q96KP1
P12830 Q9UMD9
Q96HY6 P82664
P55075 Q9BRJ2
Q9BSH4 O00411
O95425 P37231
P62906 P60866
P36952 P21266
P37287 Q92535
Q9NVH0 P56181
O00206 Q9NPH5
O15496 Q8NEC7
P40238 A8MVW0
P60484 Q93009
Q96RS6 Q9Y597
Q02083 P50336
P20333 Q96L50
P05067 P14780
Q9NZQ7 P22102
Q8TD46 Q96N66
O00567 Q9H6F5
O95433 P05067
P31944 Q15517
P06748 Q15646
O75462 P12110
Q92540 Q15032
Q96BP2 P51784
P30203 O60934
Q01628 Q8TEV9
Q13309 Q9P0U3
Q9H1D9 Q5T3J3
Q01628 P15927
P02675 P27797
P20908 P24821
Q99442 Q8TEY7
P03952 Q8N0U8
Q07021 P01008
P21580 P13489
Q16651 Q9H490
P82675 Q92552
O94829 P26367
Q8TDY8 Q96S97
Q99608 P57088
Q9Y5W5 O75844
Q8WY54 Q12816
P09093 Q12815
Q9UNI6 Q96DN6
Q6UXL0 Q8NC54
Q9BY84 Q12816
Q13291 Q9BV44
Q96FJ2 O94811
Q2M2E3 Q96AG3
O95831 Q16822
Q96C01 P14735
Q9NZQ7 Q86UE4
Q14978 Q02543
Q6ZNK6 Q9Y3I0
O75489 P56181
Q66K64 Q96H22
P20036 Q13505
Q7L8L6 P14735
P26641 Q9UBG0
P27695 Q6WBX8
Q9ULW3 Q9H329
P14625 P04179
Q15678 P40337
P11912 A2RU14
Q53GS9 Q12789
Q9P015 P15880
P55854 Q7Z417
Q96PQ1 Q13635
Q30KQ9 Q86VZ4
P98066 Q96FV9
Q8IXW5 P62487
Q9Y4L1 P01876
A6NJ78 Q9H9J2
Q9BYE2 Q9HCB6
Q86XK7 Q9NZJ7
O43240 P02790
Q24JP5 Q9Y4C4
Q01860 O76021
O75807 P55084
Q9P2J2 O43169
O43395 Q8WYA6
O75462 Q96F46
Q8NC24 Q96L50
P46776 Q96NY9
Q9BZR6 P61009
P15151 O15228
O15544 Q9BSL1
P61353 P62910
Q30KP9 P15289
Q9Y5X9 Q02083
P26641 O43261
P03372 P43026
O15234 Q12913
P43897 Q5HYK3
P54578 Q92598
P03372 P18077
Q92547 Q99638
Q9NPP4 Q9Y239
O75147 P06396
O00400 O95149
Q8TB96 Q96AY3
P15927 P52907
Q12913 P31785
Q9NX40 Q9UKA2
Q9ULA0 Q6UY14
Q08AM6 P35680
P10275 Q14814
Q7L2J0 O43491
Q9UHF4 Q86VI4
Q9NP73 Q9GZY0
P03372 P62081
Q86UE4 P18084
Q6MZQ0 Q5JVL4
O43521 Q12824
P78424 P78413
Q01628 Q7Z392
Q9NPG4 P62829
Q15262 Q92896
Q6P587 Q9Y2Z9
Q0VD86 Q9H503
P35030 P31944
Q96C01 Q5H9E4
P01137 P30050
Q9Y6G3 P82673
Q01628 P55084
P11717 P54803
P13798 Q0P6H9
Q9NWT6 O43324
P28068 P37268
Q8WWF1 Q8IWF2
P09661 Q9Y2W1
Q2M2E3 P55061
A2RTX5 O15145
Q86X19 P55082
Q86VX2 Q9Y6G5
Q86W33 Q96SQ9
O15205 P14625
Q86X76 Q96CM8
O15496 Q96HB5
O14980 Q14232
Q5T700 Q13443
Q9ULK4 Q15046
Q6P087 Q15031
P47897 P26640
Q16658 Q9Y3U8
Q15646 Q96NY9
P40337 Q9H0E3
P31323 O15027
P08833 O60279
Q8IZH2 Q9H7E2
P62917 Q92901
Q9UNA3 Q95460
P55854 Q07021
Q8WVJ2 P84090
P01730 Q9NPF0
O15194 P80723
P55899 Q8WVY7
Q8IZH2 Q9Y2K5
Q16790 O14523
Q30KP9 Q8N2E2
P10451 P05114
Q6P587 Q15031
Q5TGY3 Q9UJ70
Q96QE5 O95202
Q02083 O00165
P40197 Q9H3K2
Q86X76 Q9P032
P46527 P02812
Q7L2J0 Q13561
O15393 Q8NBD8
O14802 Q9H1D9
P62273 P62269
O60936 Q14790
Q9UHD9 Q9BSL1
Q9UNN5 Q9NXS2
P09093 Q92824
Q8N2G4 P18084
P60484 Q9Y2R9
O00220 Q6NUQ4
P11279 P14209
Q14694 Q15750
Q96LD1 Q3T906
Q9BRN9 Q9UMF0
Q92542 P05067
Q9HCN8 Q92626
Q6UXB1 Q13683
P20036 P16260
Q8TDB4 P56589
Q9Y6G5 Q9Y3C4
Q16790 Q14118
Q96BP2 O75489
Q8N6Y2 Q96QE5
Q9BTD3 P05067
Q12931 P05067
Q6V0I7 Q70EK9
Q8ND56 O95985
Q92844 Q9UBG0
Q9H9V9 P13473
P19320 Q9P2J5
Q8WXI8 Q15293
Q9Y6W8 O43708
P40259 Q9BVK2
Q9H469 P0CG47
Q8NHX9 Q9Y2L5
Q9UHP7 Q6UX53
Q13158 Q8TB73
Q9NZJ7 Q96CS3
Q6ZYL4 P84996
P31314 O95677
Q2HXU8 Q9P2B2
Q96PL5 Q6PEV8
Q9NYB0 O75818
Q9NX02 Q9UNN5
Q0VD86 Q8WUN7
P04179 Q9Y3B8
P01133 P05067
O14967 Q9Y6X5
Q07021 P00748
Q9BQ08 Q8IWU6
Q9UHD9 P55060
Q86T26 P43490
Q6NUS6 O00555
P14780 P00750
P05161 P09211
P49917 P62324
Q9UQV4 Q8WUM9
Q99542 O43405
Q15646 Q99575
O14561 P09211
P62249 P46779
O76021 Q9HAN9
Q6ZMB5 Q96SI1
Q13561 P09661
Q96NZ9 P01876
Q6NUS6 O95573
Q13601 Q9H7B2
Q7L2J0 O75607
P55854 O43592
P60891 Q8WZ19
Q8TB96 Q15293
Q9UKD2 Q8TDN6
Q9Y215 P22303
Q86YD3 Q9BWS9
Q12815 Q13895
Q8WWZ8 Q641Q3
Q9NPG3 O14802
Q8WZ79 Q12841
P20807 Q9Y244
Q9Y639 Q9Y5L0
Q86WK6 P13224
P62910 P62249
P21266 Q9NS86
Q9UBP4 Q8TCU4
Q86VY9 Q6PJF5
Q8N386 Q5HYK3
O60939 Q9UI10
Q8NBJ9 Q9NRU3
P43897 Q99798
P05423 P31260
P02746 Q8N2E2
Q07020 Q9Y324
Q99943 P02679
O76024 Q49AJ0
Q96HY6 Q6P6C2
Q9H816 P21964
Q6KF10 P98066
O14980 P33076
O15393 O15145
Q9BUB7 P82663
P27695 Q13416
P48775 P50222
Q96HD1 O96011
Q9HCI5 Q9UHG3
Q9NZQ7 Q02413
Q9NZE8 Q9BRJ2
O75462 Q9UHF1
Q7Z4U5 Q0ZGT2
Q92844 P01876
Q9NVS2 Q7Z7F7
Q12931 Q9Y2Z9
Q68D91 Q9HAH7
Q8N766 Q96AY3
O43240 P02748
Q96FV9 P18858
P47224 O95433
P60866 Q03701
Q0VD86 Q9Y5R4
Q7L2J0 P08865
Q9NZE8 Q9BQ48
Q8TDB4 Q9BSK2
Q02083 P98153
Q7Z4J2 Q9H6U8
Q9H6F2 Q6PIU2
Q92673 P08887
Q9NYK1 A8K2U0
Q96AG4 Q9UBV2
P49639 Q7L273
Q86YZ3 Q96P63
Q15293 Q86Y79
Q53ET0 Q9UMX1
Q9P013 P05067
Q8NE86 Q9BU61
Q9UMR7 P13591
Q15526 P12074
Q8WWF1 Q9UL01
Q9NYH9 Q6UWE0
Q86T26 Q15043
O75446 Q8NCD3
Q86Y30 Q8IWU6
P36578 Q99575
Q70EL3 Q9ULZ3
Q99933 O43242
Q96BY9 Q9UHG3
P27695 P13798
P04150 Q9Y2R9
Q9HC24 P51571
Q15646 Q8WTT2
P05423 O95602
Q96GX1 Q8N766
Q9H0R6 Q9Y2Z9
P78424 Q53EP0
P10275 P14859
Q9UBX2 P46776
Q7Z4N8 A8MVW0
P03372 Q9Y262
Q12805 P27797
Q96C19 O15145
P22304 Q14696
P08247 P40426
O00567 Q03701
Q9NRE1 P14780
Q9NQC7 P07359
P04004 O75298
P46779 Q12816
Q9H1R2 O43242
P55081 Q6NT76
Q12931 Q15031
P08473 Q8NEG4
P23511 P14859
Q8NE18 P29350
P27694 Q8IZH2
Q96FC7 Q9Y2S7
Q9BQ51 Q7Z2K6
P11279 Q9UQN3
P24752 Q99720
Q8TB96 Q9P2J5
P06748 Q03701
P06748 Q9NXW9
P27658 Q9H501
P49750 Q8TAQ2
Q9BYE2 O94985
Q14114 P02749
Q13573 Q13561
Q8TDY8 O75317
Q9UBX2 P07814
Q86T26 Q6NUQ4
Q9Y240 P54803
Q99442 Q99943
Q9NVH0 Q96A35
Q9NVH0 Q8N5N7
O15205 Q13868
Q6PIU2 Q9Y6A1
P54578 P46777
P27695 Q4KMP7
P03372 Q09666
Q8IUX8 Q9UBU6
Q8WWY8 Q96RS6
P82675 P46781
Q92686 A8K855
Q6UXL0 Q8N6P7
Q9HBL8 P50914
P05305 P46379
P04839 Q70CQ2
O75489 Q9BYD1
O95985 Q9UJK0
Q96HA8 Q7Z6G3
P10827 P38646
Q9H7H0 Q96EY7
Q9HBL8 P19387
O95999 Q14790
Q9BYD1 P62910
O43561 P01732
P11912 Q9BSK2
P24588 P63098
Q15459 Q53GS9
Q9NYB0 O94888
P14625 Q9UBV2
Q96BP2 Q9BSH4
P52849 P31944
P50222 Q8N7F7
Q9H7H0 Q96GC5
Q8N386 P61803
Q8NC24 Q7Z4R8
Q5T3J3 P03372
P03372 Q9HC44
Q96AG4 Q9Y2Q5
P13473 Q9BV20
Q16790 P05067
Q8ND04 Q8IUZ0
Q9NYB0 P25713
Q96CF2 P46779
P08246 Q99574
Q14512 Q9BRU9
Q92820 P27797
Q6P5W5 P18031
Q14392 Q9ULF5
Q96PL2 Q9NS69
P62841 Q8TCJ2
Q14703 O00602
Q9BVS5 O43920
P14780 P01137
P20674 Q96B26
Q9NPD3 P13804
Q7RTX1 Q7RTX0
P18084 P04275
O43240 P80723
Q07021 P38646
Q9UBT6 O95400
O95197 Q6P1Q0
Q9NWT6 P62841
Q9NQX7 P98153
O14618 O75439
Q5TGI0 Q9UL01
P43897 P82933
P21589 P02751
Q9NNX6 P13473
P49207 P46777
Q9NX40 Q9ULE6
Q6NYC1 Q01581
P60891 Q9H1D9
Q8WWF1 Q92626
P01185 Q07687
Q9BVS5 O43716
P43630 Q9Y561
Q96AK3 Q9Y2R9
Q9UMF0 Q9BV99
Q96F46 Q6NUM9
P27487 Q8N766
O75607 Q02878
Q99798 P62829
Q9UNX3 P49207
P26367 P14859
Q9Y2L9 Q8TF66
Q15526 O95202
P06748 P32969
Q0VD86 Q9H2X0
Q8ND56 Q7Z739
Q9NVH0 Q9Y2Q9
P43897 Q9NVS2
P10276 P13056
P01730 Q9UI10
Q9HCN8 Q13683
O95971 Q9P2B2
Q30201 Q95460
P12830 Q13442
P01876 P02671
O60356 Q8WYA6
P78310 P18031
P03952 Q04756
Q9NX40 Q96AG3
O15118 Q9Y679
Q96BP2 Q4J6C6
Q9P127 Q9Y2D5
Q9Y3B7 O75390
Q96QS3 Q99435
Q13635 P55211
Q9NYB0 Q9P013
Q8N0W7 Q03701
Q92743 P05067
Q92824 Q9NRQ2
O14561 Q9NWU1
O43920 Q9NS69
Q6NT76 Q96FJ2
P46531 Q96Q05
Q96L08 Q9NS64
O60939 Q92903
P11686 Q14703
P04070 P05121
Q8WZ42 P18084
Q96GX1 Q9Y561
P09661 P46781
P40337 Q53GS9
Q08188 Q96P63
P26367 Q8N9N5
O75390 O75952
Q14767 Q9NXJ5
P61353 P62273
Q5BKY1 P20930
Q5BVD1 Q3MIP1
Q02083 Q53R41
P15151 P43304
Q8TB96 Q3ZCQ8
P98066 Q8TBG4
Q9BUB7 P56181
P01834 P04275
Q9NZJ7 Q9BXK5
Q9NQC7 P30050
O15160 Q99836
O75390 Q9Y305
Q8WY91 Q6UX40
Q6UY11 Q7Z4F1
O43493 Q5T0W9
P55854 Q5W0Q7
O60356 O43707
P03372 Q96ES7
Q92540 Q8WVC0
P62917 P46781
O43920 Q9BYJ1
Q8WWY3 Q9NQC8
Q96QE5 Q96SZ6
P04150 Q9UFF9
Q8WZ55 Q68CR1
Q99442 P42702
Q86T26 Q15526
P12830 P40189
Q9BYD2 Q9NZE8
P62917 Q9H7H0
Q9H7H0 Q9BXS6
Q9Y2W1 P29536
P11912 P11686
Q8WX93 Q9NYK5
P06748 O75319
O75880 O15027
Q9NZJ7 Q9NVH0
O15496 Q5NDL2
P51784 Q08J23
Q9H668 Q96C01
Q96AG4 Q9Y5T5
Q9ULW3 Q9H7B2
Q12888 Q9Y266
Q8IYR6 Q9ULF5
Q9GZZ8 P18827
P29966 Q9BX67
P48307 Q9NQC8
Q9Y2G2 Q5T3J3
Q9UHP7 Q9NRZ5
Q96A73 O60500
Q14442 Q96CS3
Q9ULY5 Q9UBM7
Q5BVD1 Q9H0V1
Q6IN84 Q86UY8
Q8N766 Q9P2J5
O75503 Q9NQH7
P12830 Q5T0W9
O43240 P19823
O75489 Q14257
Q9HBV2 Q9NS64
P62244 P62081
Q6UXB1 Q9Y4K0
P07602 P31944
Q07011 O76024
Q8IYR6 P55084
Q13573 Q15459
Q6ZMB5 Q99720
Q96LA8 Q6UN15
A6NJ78 O95202
P27694 Q15459
Q86UN6 Q15506
Q9H0D6 Q9NYB0
Q9BV44 Q7Z7A3
Q9NX40 Q96S66
P49207 P32969
Q07092 Q8IYK4
Q96GW7 P05067
Q9BUN8 O15031
Q96K76 Q9P218
Q8IWF2 Q9HCN8
Q8WVJ2 Q9UNX3
P98095 P27658
Q9H400 Q9NVV5
P04150 P29536
O75360 P49639
P09758 Q9UNS1
Q8IVD9 Q96H20
Q9H4L4 O76024
Q96BY9 P19971
P55854 Q15046
Q9NYB0 Q9H3P2
Q05925 Q96HN2
P03372 P14649
P31314 P50219
Q24JP5 Q9UMF0
Q9ULY5 P84996
O15393 Q96DZ1
Q96KR7 Q9Y262
O75534 Q9H3H3
O75607 P78346
O00555 O00339
Q3KNS1 Q5SWA1
Q8WTU2 Q96GW9
P20839 Q9BUB7
Q9UKF2 Q9Y219
Q92985 P47897
O95831 Q9NX14
Q15125 A2RU14
P40238 Q9H649
P42127 P28799
Q9Y6C2 Q9Y561
Q9UJV8 Q9UNX3
Q92552 Q9Y676
P14770 P40197
P29966 Q9Y6I9
P27797 Q96GX1
Q13530 P28799
O75319 P51398
P10276 Q5T3J3
O95602 O14802
Q96QE5 A8K2U0
Q4VXA5 O75360
Q8N6K0 P55061
P08247 P16260
Q01780 Q99828
O75431 P51648
P27487 P10909
Q96RS6 P53396
Q7Z5V6 Q7L273
Q13444 Q8N9N5
P13473 P11717
O00567 P62910
Q6P9G4 Q8NHX9
Q96HY6 P05067
P20839 Q13309
O15205 Q96EK7
Q9HC58 O00124
Q8N878 B9A064
Q5J8M3 P01834
Q8ND94 Q8TB96
Q9Y294 Q9NZT1
Q96A46 P22695
P55854 Q9H307
Q14978 Q8TDN6
P06748 P62910
P40337 Q8N0U8
Q99944 P01871
Q6P587 Q96CB9
O00193 Q9P283
Q5BJD5 Q9P035
Q9NXK8 P13489
Q9NZQ7 P23921
Q13936 Q9BUN8
Q6UX41 P55082
P14770 Q8N2K0
P28827 P55060
Q9H8J5 Q7Z4F1
P51649 P80404
O00468 P01024
Q96AY3 Q15435
P03372 P62487
Q9HC29 O95573
P06748 P31949
O60356 P08582
P20333 Q8N441
P55854 Q8N1G4
Q00604 Q9NY47
O75390 Q10713
P04150 Q8NEP3
Q14114 Q96P71
Q9NY27 Q96PZ0
Q96BZ9 P02655
Q8N3V7 Q0ZGT2
P05114 P29966
P10909 Q9Y4L1
O75439 Q9HA77
Q96DZ9 Q9UMS0
P49639 Q99435
P53007 Q02978
P04150 P14625
P50914 Q02878
Q16378 Q9NQG6
P12830 Q9P206
P62277 Q8NAV1
P10275 P14735
Q5T280 Q5VTL8
Q5BVD1 Q99835
O43493 Q9Y5Z9
Q15262 P04183
Q5JQC9 P31323
O75390 Q9Y2R9
Q9NUM4 P32004
Q6UY01 P78357
Q15256 Q02978
Q96QE5 O00411
Q8NBZ0 Q96QE5
Q9GZQ3 Q00587
P22304 Q02083
A0PK05 Q01628
Q9BW61 P08243
P16070 Q13477
O14931 Q641Q3
Q8TDB4 Q8WXG6
P51888 P17707
Q15306 Q8NHM5
Q00872 Q8WZ42
Q7L2J0 Q6P161
Q9HCY8 Q96FQ6
Q9Y2I6 Q9NQC7
P00395 Q6UXB4
Q30201 Q9HBH1
Q9UIR0 Q969N2
Q02543 Q8N0Z8
Q15049 Q96LA8
Q13561 Q9NS69
Q9UBX7 Q96GC9
P15927 P62241
Q96DR8 Q5J8M3
Q6UWB1 P00395
P03372 Q9NXS2
P05161 Q8TCJ2
O95831 P20674
Q71UM5 Q9NWT6
Q92570 P08686
Q15345 Q15370
Q8WWF1 Q13683
P62241 P82663
Q96BY9 P02671
Q969N2 P01834
P18031 O95197
Q13635 O14967
Q15750 P10644
P09211 Q9UMX5
Q99442 Q15043
P01031 P07357
Q9BQT8 P53004
Q9Y6N7 Q8N7X4
O75688 P37231
Q8IUC6 O94966
Q9NX40 Q5T0W9
Q9BTL4 P54803
Q9NRM6 Q8WV83
Q9NYB0 P13056
P25311 P05109
Q13573 P19388
P84090 Q9Y3Y2
Q15256 O60783
Q9Y6I4 Q01860
Q13651 Q8IX05
Q9ULW3 Q92673
O43291 Q9Y561
Q96DZ9 Q86UL3
Q9BVV7 Q3ZCQ8
P14625 P39656
Q49AJ0 P55212
O95672 Q95460
P62136 Q96KR7
P49639 P09211
Q86UE4 P26641
O43159 Q9ULA0
P27695 Q92621
P48634 P02671
Q99608 P11387
P09758 Q13572
Q15526 P83111
O95460 O00339
Q8TBE3 Q9UHP7
Q12888 Q9ULA0
Q86UE4 Q9UBG0
P59046 Q9UNN5
Q96CF2 Q9UNX3
Q9BRK5 Q6ZRV2
O15393 Q9P209
P55212 P29074
P60484 Q9NPD3
O95197 Q9BUB7
Q8TDN2 P42898
P80370 Q8TC07
P51843 P62508
Q96K76 Q8WYA6
Q92956 P29622
Q6WBX8 Q14738
P00751 P27797
O95831 Q02978
A4D1T9 Q6UWY0
Q08AM6 Q9BXS9
Q8IXL7 O75973
Q96GR2 P05067
P27487 Q9UKD2
P29350 P32927
P27487 Q7Z7K6
O15393 Q96HY6
Q02543 P36578
Q8N2G4 Q9Y4K0
Q9GZP0 P98164
Q7Z5V6 P14735
Q96HY6 Q99575
O00555 O75095
Q96H96 O76021
P40426 A8MV81
O75128 Q96HN2
Q9UHD9 Q9BVV7
P47224 O95202
Q13115 Q9P2J5
P55286 Q9Y2C4
P30203 O75317
O60356 P22102
Q14696 P47897
Q9UMR7 O75882
Q16827 P05067
P37231 Q9Y2X3
Q9Y2K5 Q9NX00
Q14114 P30533
O43493 Q7Z3U7
P55210 P11831
Q9NYK5 Q9NZE8
P03372 Q12824
Q9NVH0 Q6L8Q7
Q8N7C0 Q92521
Q6ZMH5 Q4KMG0
Q9HCN8 Q9Y4K0
Q8NBJ9 Q9H6U8
Q6IN84 Q6UX27
Q13158 O94811
O00567 O60287
P27695 Q99943
P05161 Q7L2J0
Q8WVJ2 P06748
Q7L8L6 Q9Y2Q9
P12110 P62829
Q96AG4 O15460
P62136 P00738
Q96BP2 Q9Y697
O43240 P05109
Q8WWF1 Q86WK7
P09211 P20674
Q15262 Q9NY47
P55957 Q13158
Q9BSL1 Q96DA0
P42261 P41594
P50222 Q96FX2
P03372 Q9Y4W2
P05160 P00734
P21964 P09038
Q9Y2I2 Q9ULC4
Q86XK7 Q9NX00
P08034 Q9BXN2
Q9H8X2 Q9NQ84
Q9ULZ3 P11831
Q9BYD2 Q9BYD1
Q93009 Q96AP0
Q5JST6 Q9NRN7
Q14108 Q03701
Q9Y5Y6 O43291
P04150 Q7Z2Q7
Q9Y4L1 Q8N2E2
Q16819 P01019
O14980 P80723
Q9UNI6 P05067
Q8N668 P06702
P33681 Q5HYK3
P12830 P46060
Q96PE5 Q14156
O00255 P27658
O75390 Q92552
P04839 P13498
P20333 P51571
Q9HBL8 Q3ZCQ8
Q6MZP7 P61769
Q02297 O43529
Q9Y5Y6 Q9H5V8
Q9BYD2 Q8N5N7
P11279 Q6UX27
P11487 Q8IZH2
Q9HC62 Q9UKQ2
Q6UX41 Q9P2B2
P55290 Q9NUQ2
P04150 P01024
Q15466 P26951
P62277 P46781
Q9NQC7 Q8NB78
Q9BZR6 Q9NQC3
O43847 P06881
P03372 Q9H4H8
Q96BY9 P00751
Q8WWU7 B9A064
Q9Y2J2 P49770
Q5H8A3 Q6YHK3
P46781 P46776
Q9ULZ3 Q9NX02
Q9Y262 P62269
Q99442 O00400
Q96HY6 Q8WTT2
Q96HY6 Q5JVF3
Q9UIF7 Q6UWE0
P55103 P01137
Q9NQ34 Q53R41
P03372 Q15024
P11717 O75822
Q7Z417 Q12805
P07954 P36551
P18031 O15173
Q9UK85 Q86XX4
Q14442 P00374
Q9Y3B7 Q9Y399
Q8NB14 A6NHT5
Q9Y376 Q9BSH4
Q9NPH3 P27930
Q13361 O75095
Q9Y6X8 Q9H4I2
Q53EP0 P51687
Q7Z6G3 Q8TAB5
P03372 O00165
P29350 P48634
Q9H3Q1 Q9NZT1
Q96BY9 P15104
O00567 Q99575
P46531 P84090
Q6P1J9 P54136
P50222 P15863
Q12888 P11387
O14713 P06702
P62861 P62081
Q9BUN8 P14209
Q96CM3 O75390
Q99689 P03923
Q96EY7 Q9Y2Q9
Q9UNN5 Q13561
Q7Z417 Q9Y3I0
P60866 P48634
Q13472 Q9H7E2
P06748 Q99575
A2RUU4 Q7Z7L7
P06401 P27694
P10619 Q6P9G4
O00206 P02679
Q9UI38 Q53R41
P12830 Q96DA0
Q01113 Q6NUM9
Q96FC7 Q14257
P55212 A6NJ78
Q9NVH0 Q9UNK9
O95433 Q14653
Q8TCT0 Q8WUA7
Q96IY1 Q8N9R8
O94985 Q92547
P34741 P14210
Q6NYC1 Q15046
P35556 P59046
Q96HY6 P62273
P05120 Q15750
Q96F46 Q4KWH8
Q5VWK5 Q9NPF7
Q8WZ55 O76024
Q92903 P30307
P56180 P55060
Q9NYQ7 O43147
O00206 Q99836
Q99608 P46087
Q9H0F6 Q02978
Q9Y4E8 P51784
